image_name,tags
test_0,clear primary
test_1,clear primary
test_2,partly_cloudy primary
test_3,clear primary
test_4,partly_cloudy primary
test_5,clear primary
test_6,agriculture cultivation habitation haze primary
test_7,agriculture clear habitation primary road
test_8,clear primary
test_9,agriculture cultivation haze primary
test_10,partly_cloudy primary
test_11,agriculture clear cultivation primary
test_12,cloudy
test_13,agriculture clear primary
test_14,clear cultivation primary
test_15,clear primary
test_16,agriculture clear habitation primary
test_17,partly_cloudy primary
test_18,clear primary
test_19,clear primary road water
test_20,clear primary water
test_21,clear primary water
test_22,agriculture clear habitation primary
test_23,cloudy
test_24,agriculture partly_cloudy primary
test_25,clear primary
test_26,agriculture partly_cloudy primary road
test_27,agriculture clear primary road
test_28,agriculture bare_ground partly_cloudy primary water
test_29,clear primary
test_30,partly_cloudy primary
test_31,cloudy
test_32,clear primary
test_33,agriculture clear primary road
test_34,cloudy
test_35,clear primary
test_36,clear primary
test_37,clear primary
test_38,clear primary
test_39,clear primary
test_40,clear primary water
test_41,partly_cloudy primary
test_42,clear primary
test_43,clear primary
test_44,clear cultivation primary
test_45,agriculture haze primary road
test_46,agriculture haze primary water
test_47,clear primary
test_48,clear primary
test_49,haze primary water
test_50,clear primary
test_51,clear primary water
test_52,agriculture clear habitation primary road
test_53,agriculture clear cultivation primary road
test_54,clear primary
test_55,partly_cloudy primary
test_56,clear primary
test_57,artisinal_mine clear primary water
test_58,clear primary
test_59,agriculture clear primary road
test_60,blooming clear primary
test_61,cloudy
test_62,
test_63,clear primary
test_64,agriculture clear primary
test_65,clear primary
test_66,clear primary
test_67,agriculture clear habitation primary road
test_68,cloudy
test_69,clear cultivation primary
test_70,clear primary
test_71,partly_cloudy primary
test_72,clear primary road water
test_73,partly_cloudy primary road water
test_74,partly_cloudy primary
test_75,agriculture cultivation partly_cloudy primary road
test_76,clear primary
test_77,clear primary
test_78,clear primary
test_79,agriculture clear cultivation primary
test_80,cloudy
test_81,cloudy
test_82,agriculture clear cultivation primary
test_83,blooming blow_down clear primary
test_84,clear habitation primary road water
test_85,agriculture clear primary road water
test_86,blooming clear primary
test_87,partly_cloudy primary
test_88,agriculture clear cultivation primary
test_89,cloudy
test_90,cloudy
test_91,agriculture clear cultivation primary
test_92,cloudy
test_93,clear primary
test_94,clear primary
test_95,agriculture cultivation partly_cloudy primary road
test_96,haze primary
test_97,clear primary
test_98,partly_cloudy primary
test_99,cloudy
test_100,clear primary road water
test_101,agriculture clear habitation primary road
test_102,clear primary
test_103,clear primary water
test_104,partly_cloudy primary
test_105,clear primary
test_106,haze primary
test_107,clear primary
test_108,agriculture habitation partly_cloudy primary road
test_109,agriculture partly_cloudy primary road
test_110,partly_cloudy primary
test_111,partly_cloudy primary
test_112,agriculture cultivation partly_cloudy primary
test_113,haze primary
test_114,agriculture cultivation partly_cloudy primary water
test_115,agriculture clear cultivation primary slash_burn
test_116,agriculture partly_cloudy primary road
test_117,partly_cloudy primary water
test_118,clear habitation primary road
test_119,clear primary
test_120,agriculture clear primary road water
test_121,clear primary
test_122,clear primary
test_123,partly_cloudy primary
test_124,clear primary
test_125,partly_cloudy primary
test_126,agriculture clear cultivation primary
test_127,cloudy
test_128,clear primary
test_129,clear primary
test_130,clear primary
test_131,clear primary
test_132,clear primary water
test_133,agriculture cultivation haze primary
test_134,agriculture clear primary road
test_135,agriculture clear habitation primary road
test_136,clear primary
test_137,agriculture clear cultivation primary
test_138,agriculture cultivation habitation partly_cloudy primary road
test_139,partly_cloudy primary
test_140,agriculture clear cultivation primary
test_141,clear primary
test_142,clear primary
test_143,agriculture clear primary road
test_144,agriculture haze primary
test_145,agriculture clear primary
test_146,agriculture clear cultivation primary water
test_147,agriculture clear cultivation primary water
test_148,partly_cloudy primary
test_149,partly_cloudy primary
test_150,clear cultivation habitation primary road
test_151,clear primary water
test_152,agriculture clear primary road water
test_153,clear primary
test_154,clear primary
test_155,agriculture clear habitation primary
test_156,partly_cloudy primary
test_157,clear primary water
test_158,clear primary
test_159,agriculture partly_cloudy primary road
test_160,agriculture haze primary
test_161,clear primary
test_162,primary water
test_163,partly_cloudy primary
test_164,haze primary
test_165,haze primary
test_166,clear primary
test_167,clear primary
test_168,clear primary
test_169,partly_cloudy primary
test_170,agriculture partly_cloudy primary road
test_171,cloudy
test_172,cloudy
test_173,clear primary
test_174,clear primary road water
test_175,clear primary
test_176,partly_cloudy primary
test_177,partly_cloudy primary water
test_178,haze primary
test_179,agriculture clear primary water
test_180,partly_cloudy primary
test_181,clear primary
test_182,partly_cloudy primary
test_183,haze primary
test_184,clear primary
test_185,agriculture partly_cloudy primary road water
test_186,agriculture clear cultivation primary road
test_187,agriculture partly_cloudy primary
test_188,clear primary water
test_189,agriculture clear primary road
test_190,agriculture clear partly_cloudy primary
test_191,clear primary
test_192,clear primary
test_193,clear primary
test_194,agriculture clear habitation primary road
test_195,clear primary water
test_196,clear primary
test_197,clear primary
test_198,agriculture partly_cloudy primary road
test_199,agriculture clear habitation primary
test_200,clear primary
test_201,haze primary
test_202,artisinal_mine clear primary water
test_203,artisinal_mine clear primary water
test_204,cultivation haze primary
test_205,clear primary
test_206,clear primary
test_207,clear primary
test_208,cloudy primary
test_209,clear primary
test_210,clear primary
test_211,agriculture clear primary road
test_212,agriculture habitation partly_cloudy primary road water
test_213,agriculture clear cultivation primary
test_214,partly_cloudy primary
test_215,clear primary road water
test_216,clear primary
test_217,clear primary
test_218,agriculture clear habitation primary road
test_219,clear primary
test_220,cloudy
test_221,agriculture partly_cloudy primary water
test_222,cloudy
test_223,clear primary
test_224,agriculture clear cultivation habitation primary road slash_burn
test_225,clear primary
test_226,clear primary
test_227,primary water
test_228,agriculture haze primary road water
test_229,agriculture clear cultivation habitation primary road water
test_230,agriculture partly_cloudy primary
test_231,partly_cloudy primary
test_232,haze primary
test_233,clear primary
test_234,clear primary
test_235,clear primary
test_236,clear primary
test_237,partly_cloudy primary
test_238,agriculture conventional_mine habitation partly_cloudy primary road
test_239,agriculture clear cultivation primary
test_240,agriculture clear habitation primary road
test_241,agriculture partly_cloudy primary road water
test_242,clear cultivation primary water
test_243,clear habitation primary road water
test_244,clear primary
test_245,clear primary
test_246,clear primary water
test_247,clear primary
test_248,agriculture clear habitation primary road
test_249,clear primary road selective_logging water
test_250,clear habitation primary road
test_251,clear habitation road
test_252,clear primary water
test_253,partly_cloudy primary
test_254,clear primary
test_255,clear primary
test_256,clear primary
test_257,clear primary road water
test_258,clear primary
test_259,clear cultivation primary water
test_260,clear primary
test_261,blooming clear primary selective_logging
test_262,agriculture clear cultivation primary road
test_263,agriculture clear primary road
test_264,haze primary
test_265,agriculture cultivation partly_cloudy primary
test_266,agriculture cultivation partly_cloudy primary
test_267,clear primary
test_268,agriculture clear cultivation primary road
test_269,agriculture clear primary road
test_270,agriculture clear primary water
test_271,clear primary
test_272,agriculture clear habitation partly_cloudy primary road
test_273,cloudy primary
test_274,agriculture clear cultivation primary water
test_275,haze primary
test_276,agriculture clear primary road
test_277,agriculture cultivation haze primary
test_278,clear primary
test_279,partly_cloudy primary
test_280,partly_cloudy primary
test_281,bare_ground clear
test_282,agriculture clear habitation primary road
test_283,clear primary
test_284,clear primary
test_285,agriculture clear cultivation habitation primary
test_286,cultivation partly_cloudy primary road selective_logging
test_287,clear primary water
test_288,agriculture artisinal_mine clear primary road water
test_289,clear cultivation primary water
test_290,clear primary
test_291,agriculture clear primary
test_292,clear primary
test_293,agriculture clear habitation primary road
test_294,clear primary
test_295,agriculture clear primary road
test_296,partly_cloudy primary
test_297,clear primary
test_298,agriculture partly_cloudy primary road
test_299,clear primary
test_300,cloudy
test_301,agriculture clear cultivation primary
test_302,clear primary
test_303,partly_cloudy primary
test_304,agriculture clear primary
test_305,agriculture haze primary road
test_306,clear primary water
test_307,clear primary
test_308,partly_cloudy primary
test_309,clear primary
test_310,haze primary
test_311,clear primary
test_312,clear primary
test_313,agriculture clear habitation primary road
test_314,cloudy
test_315,partly_cloudy primary
test_316,cloudy
test_317,clear primary
test_318,partly_cloudy primary
test_319,agriculture partly_cloudy primary road
test_320,clear primary
test_321,clear primary
test_322,agriculture clear primary
test_323,clear primary
test_324,clear primary
test_325,agriculture clear primary
test_326,clear primary
test_327,clear primary
test_328,clear primary
test_329,agriculture clear habitation primary road
test_330,clear primary
test_331,haze primary
test_332,clear primary
test_333,agriculture partly_cloudy primary road
test_334,cloudy
test_335,partly_cloudy primary water
test_336,partly_cloudy primary
test_337,agriculture clear primary road
test_338,agriculture clear primary road water
test_339,partly_cloudy primary
test_340,clear primary road selective_logging
test_341,clear primary road water
test_342,cloudy
test_343,agriculture clear primary road
test_344,clear primary road
test_345,partly_cloudy primary water
test_346,clear primary
test_347,clear habitation primary water
test_348,haze primary water
test_349,agriculture clear habitation primary road water
test_350,agriculture clear primary road water
test_351,clear primary
test_352,clear primary water
test_353,cloudy
test_354,clear primary
test_355,clear primary
test_356,agriculture clear primary road water
test_357,clear primary
test_358,haze primary
test_359,clear primary road selective_logging water
test_360,agriculture clear cultivation primary
test_361,cloudy
test_362,agriculture clear primary road
test_363,agriculture clear habitation partly_cloudy primary road
test_364,agriculture bare_ground clear primary
test_365,clear primary
test_366,agriculture clear habitation primary road
test_367,agriculture primary road
test_368,clear primary
test_369,agriculture clear partly_cloudy primary road
test_370,clear primary
test_371,clear primary
test_372,agriculture clear primary road water
test_373,cloudy
test_374,agriculture haze primary road water
test_375,partly_cloudy primary
test_376,clear primary
test_377,partly_cloudy primary
test_378,agriculture partly_cloudy primary
test_379,cloudy
test_380,agriculture clear cultivation primary road
test_381,clear primary
test_382,partly_cloudy primary road water
test_383,artisinal_mine clear habitation primary road water
test_384,clear primary
test_385,agriculture partly_cloudy primary
test_386,clear primary
test_387,clear primary
test_388,
test_389,agriculture primary road water
test_390,agriculture clear cultivation habitation primary road
test_391,clear primary
test_392,partly_cloudy primary
test_393,agriculture clear habitation primary water
test_394,clear primary
test_395,agriculture clear cultivation habitation primary road
test_396,clear primary
test_397,clear primary
test_398,clear primary water
test_399,agriculture clear primary road water
test_400,clear primary
test_401,agriculture clear primary
test_402,cloudy
test_403,clear primary
test_404,agriculture clear primary
test_405,clear primary water
test_406,haze primary
test_407,clear primary
test_408,clear primary water
test_409,clear primary
test_410,cloudy
test_411,agriculture clear habitation primary road
test_412,agriculture clear cultivation primary
test_413,clear primary
test_414,cloudy
test_415,clear primary
test_416,agriculture clear habitation primary
test_417,agriculture clear primary road
test_418,clear primary
test_419,partly_cloudy primary
test_420,agriculture clear primary
test_421,haze primary
test_422,clear primary
test_423,clear primary
test_424,clear primary water
test_425,clear primary
test_426,agriculture clear cultivation primary road
test_427,clear primary road selective_logging
test_428,agriculture clear cultivation primary
test_429,partly_cloudy primary
test_430,agriculture clear cultivation habitation primary slash_burn
test_431,clear primary
test_432,clear primary
test_433,clear primary
test_434,agriculture clear primary
test_435,clear primary water
test_436,cloudy
test_437,clear primary
test_438,clear primary road selective_logging water
test_439,agriculture clear primary road
test_440,partly_cloudy primary
test_441,clear primary
test_442,agriculture clear primary
test_443,agriculture partly_cloudy primary road
test_444,agriculture partly_cloudy primary road
test_445,clear primary
test_446,partly_cloudy primary
test_447,clear primary water
test_448,agriculture clear cultivation habitation primary
test_449,haze primary
test_450,partly_cloudy primary
test_451,partly_cloudy primary water
test_452,haze primary
test_453,clear primary
test_454,clear primary
test_455,clear primary
test_456,cloudy
test_457,agriculture partly_cloudy primary road
test_458,agriculture clear habitation primary road water
test_459,clear primary
