image_name,tags
test_0,clear primary
test_1,clear primary
test_2,primary partly_cloudy agriculture
test_3,clear primary cultivation agriculture
test_4,primary cloudy partly_cloudy agriculture
test_5,clear primary
test_6,primary partly_cloudy habitation agriculture road
test_7,clear primary water habitation agriculture road
test_8,clear primary
test_9,clear primary haze cultivation agriculture
test_10,primary partly_cloudy agriculture
test_11,clear primary water cultivation agriculture road
test_12,cloudy
test_13,clear primary water cultivation agriculture road
test_14,clear primary
test_15,clear primary agriculture road
test_16,clear primary cultivation habitation agriculture road
test_17,primary partly_cloudy
test_18,clear primary
test_19,clear primary water cultivation agriculture road
test_20,clear primary water cultivation agriculture
test_21,clear primary water agriculture road
test_22,clear primary water habitation agriculture road
test_23,primary cloudy haze
test_24,primary water partly_cloudy agriculture road
test_25,clear primary
test_26,primary water partly_cloudy habitation agriculture road
test_27,clear primary bare_ground agriculture
test_28,clear primary water habitation agriculture road
test_29,clear primary
test_30,primary partly_cloudy agriculture
test_31,cloudy
test_32,clear primary
test_33,clear primary water agriculture road
test_34,cloudy
test_35,clear primary
test_36,clear primary
test_37,clear primary
test_38,clear primary
test_39,clear primary water cultivation agriculture
test_40,clear primary water road
test_41,clear primary water cultivation partly_cloudy agriculture
test_42,clear primary
test_43,clear primary
test_44,clear primary
test_45,primary water haze agriculture road
test_46,clear primary water haze agriculture
test_47,clear primary
test_48,clear primary
test_49,clear primary water haze cultivation agriculture road
test_50,clear primary
test_51,clear primary water cultivation agriculture
test_52,clear primary water partly_cloudy habitation agriculture road
test_53,clear primary cultivation habitation agriculture road
test_54,clear primary
test_55,primary partly_cloudy agriculture
test_56,clear primary haze
test_57,clear primary water
test_58,clear primary
test_59,clear primary water habitation agriculture road
test_60,clear primary
test_61,cloudy
test_62,clear primary water agriculture road
test_63,clear primary
test_64,clear primary
test_65,clear primary
test_66,clear primary
test_67,clear primary cultivation partly_cloudy habitation agriculture road
test_68,cloudy
test_69,clear primary water
test_70,clear primary
test_71,primary partly_cloudy agriculture
test_72,clear primary cultivation agriculture
test_73,clear primary cultivation partly_cloudy agriculture
test_74,primary partly_cloudy
test_75,clear primary partly_cloudy habitation agriculture road
test_76,clear primary
test_77,clear primary
test_78,clear primary
test_79,clear primary water cultivation agriculture road
test_80,primary cloudy water haze agriculture
test_81,cloudy
test_82,clear primary cultivation agriculture
test_83,clear primary cultivation
test_84,clear primary water habitation agriculture road
test_85,clear primary agriculture road
test_86,clear primary
test_87,primary partly_cloudy
test_88,clear primary water cultivation agriculture road
test_89,cloudy
test_90,cloudy
test_91,clear primary water cultivation agriculture road
test_92,cloudy
test_93,clear primary
test_94,clear primary
test_95,primary partly_cloudy agriculture road
test_96,primary water haze partly_cloudy agriculture
test_97,clear primary
test_98,primary partly_cloudy
test_99,cloudy
test_100,clear primary water partly_cloudy
test_101,clear primary habitation agriculture road
test_102,clear primary
test_103,clear primary
test_104,primary partly_cloudy agriculture
test_105,clear primary
test_106,primary haze
test_107,clear primary
test_108,primary partly_cloudy agriculture road
test_109,primary water partly_cloudy agriculture road
test_110,clear primary water partly_cloudy habitation agriculture
test_111,clear primary water partly_cloudy
test_112,primary water partly_cloudy agriculture road
test_113,clear primary
test_114,clear primary water haze agriculture road
test_115,clear primary water cultivation agriculture
test_116,clear primary water partly_cloudy agriculture road
test_117,primary water partly_cloudy agriculture
test_118,clear primary water habitation agriculture road
test_119,clear primary
test_120,clear primary water cultivation agriculture road
test_121,clear primary
test_122,clear primary
test_123,primary water partly_cloudy
test_124,clear primary
test_125,primary partly_cloudy agriculture
test_126,clear primary water cultivation agriculture road
test_127,cloudy
test_128,clear primary
test_129,clear primary
test_130,clear primary
test_131,clear primary
test_132,clear primary water cultivation agriculture
test_133,clear primary water haze cultivation agriculture road
test_134,clear primary cultivation habitation agriculture road
test_135,clear primary habitation agriculture road
test_136,clear primary
test_137,clear primary water cultivation habitation agriculture road
test_138,primary water partly_cloudy
test_139,clear primary
test_140,clear primary cultivation agriculture road
test_141,clear primary
test_142,clear primary
test_143,clear primary habitation agriculture road
test_144,clear primary water haze cultivation agriculture road
test_145,clear primary water cultivation agriculture road
test_146,clear primary water cultivation agriculture road
test_147,clear primary water cultivation road
test_148,primary partly_cloudy
test_149,primary partly_cloudy
test_150,clear primary water cultivation habitation agriculture road
test_151,clear primary water road
test_152,clear primary water cultivation agriculture road
test_153,clear primary
test_154,clear primary
test_155,clear primary habitation agriculture road
test_156,primary partly_cloudy agriculture
test_157,primary water partly_cloudy agriculture road
test_158,clear primary
test_159,primary water partly_cloudy agriculture road
test_160,clear primary haze agriculture
test_161,clear primary
test_162,clear primary water haze agriculture road
test_163,clear primary partly_cloudy
test_164,clear primary haze
test_165,primary water haze partly_cloudy agriculture road
test_166,clear primary
test_167,clear primary
test_168,clear primary
test_169,primary water partly_cloudy
test_170,primary partly_cloudy agriculture
test_171,primary cloudy water
test_172,cloudy
test_173,clear primary
test_174,clear primary water road
test_175,clear primary
test_176,clear primary partly_cloudy
test_177,primary water partly_cloudy agriculture
test_178,primary haze agriculture road
test_179,clear primary water agriculture road
test_180,clear primary water partly_cloudy
test_181,clear primary water cultivation agriculture road
test_182,primary water partly_cloudy agriculture
test_183,primary haze
test_184,clear primary
test_185,primary partly_cloudy habitation agriculture road
test_186,clear primary cultivation habitation agriculture road
test_187,primary water partly_cloudy agriculture
test_188,clear primary water partly_cloudy road
test_189,clear primary cultivation habitation agriculture road
test_190,clear primary water cultivation partly_cloudy habitation agriculture road
test_191,clear primary
test_192,clear primary
test_193,clear primary cultivation agriculture
test_194,clear primary water cultivation habitation agriculture road
test_195,clear primary water haze
test_196,clear primary
test_197,clear primary
test_198,clear primary habitation agriculture road
test_199,clear primary cultivation habitation agriculture road
test_200,clear primary
test_201,primary cloudy haze
test_202,clear primary water
test_203,clear primary cloudy water artisinal_mine
test_204,clear primary haze cultivation agriculture
test_205,clear primary
test_206,clear primary
test_207,clear primary
test_208,primary cloudy haze
test_209,clear primary
test_210,clear primary
test_211,clear primary water habitation agriculture road
test_212,clear primary water partly_cloudy agriculture road
test_213,clear primary cultivation agriculture road
test_214,clear primary partly_cloudy agriculture
test_215,clear primary cultivation agriculture
test_216,clear primary
test_217,clear primary cultivation agriculture
test_218,clear primary habitation agriculture road
test_219,clear primary water cultivation agriculture road
test_220,cloudy
test_221,clear primary water partly_cloudy habitation
test_222,primary cloudy partly_cloudy
test_223,clear primary
test_224,clear primary water cultivation agriculture road
test_225,clear primary
test_226,clear primary
test_227,clear primary water cultivation habitation agriculture road
test_228,clear primary water haze cultivation habitation agriculture road
test_229,clear primary water cultivation habitation agriculture road
test_230,clear primary water partly_cloudy habitation agriculture road
test_231,primary partly_cloudy agriculture road
test_232,clear primary haze
test_233,clear primary
test_234,clear primary
test_235,clear primary
test_236,clear primary
test_237,primary water partly_cloudy agriculture
test_238,primary conventional_mine partly_cloudy habitation agriculture road
test_239,clear primary water cultivation habitation agriculture road
test_240,clear primary cultivation habitation agriculture road
test_241,primary cloudy partly_cloudy
test_242,clear primary water cultivation agriculture road
test_243,clear primary water habitation agriculture road
test_244,clear primary
test_245,clear primary
test_246,clear primary
test_247,clear primary
test_248,clear primary water cultivation habitation agriculture road
test_249,clear primary water agriculture road
test_250,clear primary habitation agriculture road
test_251,clear primary water habitation agriculture road
test_252,clear primary water artisinal_mine agriculture road
test_253,primary water partly_cloudy agriculture
test_254,clear primary
test_255,clear primary
test_256,clear primary
test_257,clear primary water cultivation agriculture road
test_258,clear primary
test_259,clear primary cultivation agriculture
test_260,clear primary haze
test_261,clear primary cultivation agriculture road
test_262,clear primary water cultivation agriculture road
test_263,clear primary bare_ground agriculture road
test_264,primary haze
test_265,primary cloudy partly_cloudy agriculture
test_266,primary partly_cloudy agriculture road
test_267,clear primary
test_268,clear primary cultivation agriculture
test_269,clear primary cultivation agriculture road
test_270,clear primary water partly_cloudy agriculture road
test_271,clear primary
test_272,clear primary cultivation partly_cloudy habitation agriculture road
test_273,primary cloudy
test_274,clear primary water cultivation agriculture road
test_275,primary cloudy haze
test_276,clear primary water agriculture road
test_277,clear primary water haze cultivation agriculture road
test_278,clear primary
test_279,clear primary partly_cloudy
test_280,clear primary water cultivation partly_cloudy agriculture
test_281,clear primary water bare_ground agriculture road
test_282,clear primary habitation agriculture road
test_283,clear primary
test_284,clear primary
test_285,clear primary cultivation habitation agriculture road
test_286,clear primary water partly_cloudy agriculture road
test_287,clear primary water
test_288,clear primary water cultivation artisinal_mine agriculture road
test_289,clear primary water cultivation habitation agriculture road
test_290,clear primary
test_291,clear primary water cultivation agriculture road
test_292,clear primary
test_293,clear primary water cultivation habitation agriculture road
test_294,clear primary
test_295,clear primary water agriculture road
test_296,primary partly_cloudy agriculture
test_297,clear primary agriculture
test_298,primary water partly_cloudy agriculture road
test_299,clear primary
test_300,cloudy
test_301,clear primary cultivation agriculture
test_302,clear primary
test_303,primary partly_cloudy
test_304,clear primary cultivation agriculture road
test_305,clear primary water haze cultivation agriculture road
test_306,clear primary water cultivation agriculture
test_307,clear primary water
test_308,primary water partly_cloudy agriculture
test_309,clear primary
test_310,clear primary cloudy haze
test_311,clear primary
test_312,clear primary
test_313,clear primary water habitation agriculture road
test_314,cloudy
test_315,clear primary partly_cloudy
test_316,cloudy partly_cloudy
test_317,clear primary
test_318,primary water partly_cloudy
test_319,clear primary partly_cloudy agriculture road
test_320,clear primary
test_321,clear primary haze
test_322,clear primary
test_323,clear primary agriculture
test_324,clear primary
test_325,clear primary agriculture road
test_326,clear primary
test_327,clear primary
test_328,clear primary
test_329,clear primary water habitation agriculture road
test_330,clear primary
test_331,primary haze
test_332,clear primary
test_333,clear primary partly_cloudy agriculture road
test_334,primary cloudy partly_cloudy agriculture road
test_335,primary partly_cloudy agriculture
test_336,clear primary cultivation partly_cloudy
test_337,clear primary habitation agriculture road
test_338,clear primary water cultivation habitation agriculture road
test_339,clear primary partly_cloudy
test_340,clear primary water cultivation agriculture road
test_341,clear primary cultivation
test_342,primary cloudy
test_343,clear primary habitation agriculture road
test_344,clear primary water agriculture road
test_345,primary water partly_cloudy
test_346,clear primary
test_347,clear primary water partly_cloudy habitation agriculture road
test_348,primary water haze agriculture road
test_349,clear primary water agriculture road
test_350,clear primary water cultivation habitation agriculture road
test_351,clear primary
test_352,clear primary
test_353,cloudy water
test_354,clear primary
test_355,clear primary
test_356,clear primary water agriculture road
test_357,clear primary
test_358,primary haze
test_359,clear primary water cultivation agriculture road
test_360,clear primary water cultivation agriculture
test_361,cloudy
test_362,clear primary water habitation agriculture road
test_363,clear primary partly_cloudy habitation agriculture road
test_364,clear primary water bare_ground agriculture
test_365,clear primary
test_366,clear primary water partly_cloudy habitation bare_ground agriculture road
test_367,primary haze partly_cloudy agriculture
test_368,clear primary
test_369,clear primary habitation agriculture road
test_370,clear primary
test_371,clear primary
test_372,clear primary water habitation agriculture road
test_373,primary cloudy
test_374,primary water haze agriculture road
test_375,primary partly_cloudy agriculture
test_376,clear primary
test_377,primary water partly_cloudy
test_378,primary partly_cloudy agriculture road
test_379,primary cloudy haze
test_380,clear primary water cultivation agriculture
test_381,clear primary agriculture
test_382,primary partly_cloudy agriculture
test_383,clear primary water partly_cloudy artisinal_mine agriculture road
test_384,clear primary
test_385,primary water partly_cloudy agriculture road
test_386,clear primary
test_387,clear primary
test_388,clear primary water partly_cloudy agriculture road
test_389,primary water haze cultivation agriculture road
test_390,clear primary cultivation partly_cloudy habitation agriculture road
test_391,clear primary
test_392,primary partly_cloudy
